2018-10-08 22:25:02,"b'RT @PastorDScott: I wonder why the Democratic Party, Alyssa Milano and the #Metoo movement have absolutely NO interest in Keith Ellisons vi\xe2\x80\xa6'"
2018-10-08 22:25:01,"b""RT @chitraSD: Pleased to share my first column @republic on India's #MeTooIndia movement. In #Solidarity with women journalists and others\xe2\x80\xa6"""
2018-10-08 22:25:01,"b'RT @SenSchumer: Women across the country came together around this nomination to say #MeToo, to stand up against sexual abusers and harasse\xe2\x80\xa6'"
2018-10-08 22:25:01,"b'RT @SenSchumer: Women across the country came together around this nomination to say #MeToo, to stand up against sexual abusers and harasse\xe2\x80\xa6'"
2018-10-08 22:25:00,"b'RT @ndtv: #MeToo: How can companies be made accountable?\n\n@neetipalta, Comedian, on @LRC_NDTV \nWatch LIVE on https://t.co/hMlRpgrUU6 and ND\xe2\x80\xa6'"
2018-10-08 22:24:59,"b'RT @AdityaRajKaul: Some of the biggest names in Indian media who otherwise preach about feminism, ethics and moral compass are silent on #m\xe2\x80\xa6'"
2018-10-08 22:24:59,b'RT @TRE45ON_: I\xe2\x80\x99m a #metoo \nI had to get off twitter the past 36 hours\nI couldn\xe2\x80\x99t deal with K\xe2\x80\x99s confirmation\nI thought of giving up\nBut I k\xe2\x80\xa6'
2018-10-08 22:24:59,"b""@umasudhir @ndtv @9pm No statement about your husband's sexual bullying of subordinates? Or that does not count? Bu\xe2\x80\xa6 https://t.co/Nd2UpiO1IR"""
2018-10-08 22:24:58,"b'RT @SaraFloodman: I am a #MeToo survivor and am utterly stressed, scared, and very angry. I need to connect with other #Resisters!\n\nI will\xe2\x80\xa6'"
2018-10-08 22:24:58,"b'RT @ConservaMomUSA: Non-Michigan resident, #MeToo\xe2\x81\xa0 \xe2\x81\xa0\xe2\x81\xa0mob boss&amp; #Hollywood-open-secret-keeper @Alyssa_Milano prefers White female career pol\xe2\x80\xa6'"
2018-10-08 22:24:57,b'I liked a @YouTube video https://t.co/3GzsSzyIBJ #MeToo - Lynzy Lab'
2018-10-08 22:24:56,"b""@kevincramer Know what a \xe2\x80\x98Movement Toward Victimization\xe2\x80\x99 comes from? PEOPLE BEING VICTIMIZED!!!! Victims aren't wea\xe2\x80\xa6 https://t.co/aBveUnoN1Q"""
2018-10-08 22:24:55,b'RT @NadirBalochWBO: #Pakistani Scholar talking about the captured women in war. anyone who truly believes in human and women rights can eas\xe2\x80\xa6'
2018-10-08 22:24:54,"b'RT @SenSchumer: Women across the country came together around this nomination to say #MeToo, to stand up against sexual abusers and harasse\xe2\x80\xa6'"
2018-10-08 22:24:54,"b'@seanhannity I am so glad Brett K was confirmed into the scotus, now my wish is to make the left haters pay for des\xe2\x80\xa6 https://t.co/foI5tHF3GV'"
2018-10-08 22:24:53,"b'RT @SenSchumer: Women across the country came together around this nomination to say #MeToo, to stand up against sexual abusers and harasse\xe2\x80\xa6'"
2018-10-08 22:24:53,"b'RT @prasanto: ""My #MeToo moment: Founding editor of national paper forced himself on me"" - another story of sexual assault by top journo-tu\xe2\x80\xa6'"
2018-10-08 22:24:53,"b'RT @ndtv: #MeToo: How can companies be made accountable?\n\nNamita Bhandare, Columnist, Mint, on @LRC_NDTV \nWatch LIVE on https://t.co/hMlRpg\xe2\x80\xa6'"
2018-10-08 22:24:52,b'RT @carrieksada: No @chuckschumer you are the disgraceful one using women as props and weaponizing the #MeToo movement to further your own\xe2\x80\xa6'
2018-10-08 22:24:52,"b""RT @SirJadeja: \xf0\x9f\x91\x89#MeToo Is Women's Movement, Not Left/Liberal Movt\n\xf0\x9f\x91\x89Right Wing Is Not Anti-women, Generalising It Shows Your Stupidity\n\xf0\x9f\x91\x89Sexu\xe2\x80\xa6"""
2018-10-08 22:24:52,b'RT @RenukaJain6: I request all Men to start #MeToo Movement.  \n\nI have seen in night clubs at night how many woman throw themselves on Men\xe2\x80\xa6'
2018-10-08 22:24:51,"b""@SafetyPinDaily That is just awful. Trump should call off the deplorables.  He won't though because he wants to pun\xe2\x80\xa6 https://t.co/4n1cCLdlaH"""
2018-10-08 22:24:51,b'All these women openly naming the people who sexually harassed them and misbehaved with them - I am so proud of you\xe2\x80\xa6 https://t.co/cb8b8FbjWt'
2018-10-08 22:24:50,b'RT @LauraLoomer: Bill &amp; Hillary Clinton are going on tour together! \n\nHere is their tour schedule.\n\nWould be a shame if Conservatives creat\xe2\x80\xa6'
2018-10-08 22:24:49,b'RT @UncleSamsChild: I LIKE #BEER #METOO\nOrder yours \xf0\x9f\x91\x89 https://t.co/RWoVBoRJ8J \n#kavanaugh #ConfimKavanaughNOW #IStandWithBrett #SCOTUS  #CO\xe2\x80\xa6'
2018-10-08 22:24:48,"b'RT @SenSchumer: Women across the country came together around this nomination to say #MeToo, to stand up against sexual abusers and harasse\xe2\x80\xa6'"
2018-10-08 22:24:44,b'@DonaldJTrumpJr Still waiting for @IvankaTrump to come forward. #MeToo'
2018-10-08 22:24:42,"b'RT @FoxNews: Bill, Hillary Clinton to embark on speaking tour amid #MeToo backlash -- with tickets topping $745 https://t.co/JpA4nIEc0x'"
2018-10-08 22:24:41,"b'RT @SenSchumer: Women across the country came together around this nomination to say #MeToo, to stand up against sexual abusers and harasse\xe2\x80\xa6'"
2018-10-08 22:24:41,"b""\xe2\x80\x98I expected more.\xe2\x80\x99 Many California leaders want more leadership/progress in #MeToo era.\nRead this week's #CA\xe2\x80\xa6 https://t.co/uRmTwgGSeM"""
2018-10-08 22:24:40,"b'RT @bainjal: My #MeToo moment: Founding editor of national paper forced himself on me, planted shame, fear, almost broke me - Firstpost htt\xe2\x80\xa6'"
2018-10-08 22:24:40,"b'RT @kazweida: After Kevin Cramer characterized #MeToo  as ""victimization,"" I thought it\'d be helpful to look into Kevin\'s backstory.\n\nTurns\xe2\x80\xa6'"
2018-10-08 22:24:40,"b'RT @SenSchumer: Women across the country came together around this nomination to say #MeToo, to stand up against sexual abusers and harasse\xe2\x80\xa6'"
2018-10-08 22:24:37,"b'RT @because_desi: An Indian director/producer Vinta Nanda claims she was raped by Bollywood\xe2\x80\x99s favourite Babuji, Alok Nath in the 90\xe2\x80\x99s. #Met\xe2\x80\xa6'"
2018-10-08 22:24:35,"b'RT @because_desi: An Indian director/producer Vinta Nanda claims she was raped by Bollywood\xe2\x80\x99s favourite Babuji, Alok Nath in the 90\xe2\x80\x99s. #Met\xe2\x80\xa6'"
2018-10-08 22:24:35,"b'RT @dhume: In India\xe2\x80\x99s #MeToo moment #MJAkbar is Harvey Weinstein: 1. High profile man w/ power to make or ruin careers. 2. Multiple, credib\xe2\x80\xa6'"
2018-10-08 22:24:35,"b'RT @ConservaMomUSA: Non-Michigan resident, #MeToo\xe2\x81\xa0 \xe2\x81\xa0\xe2\x81\xa0mob boss&amp; #Hollywood-open-secret-keeper @Alyssa_Milano prefers White female career pol\xe2\x80\xa6'"
2018-10-08 22:24:34,"b'Actress Rose McGowan  has lashed out at the so-called activists behind the #MeToo movement,  saying the campaign is\xe2\x80\xa6 https://t.co/cud4mBZ8Gq'"
2018-10-08 22:24:33,"b'RT @ShephaliBhatt: ""I have waited for this moment to come for 19 years."" \n\n@vintananda\'s heart-wrenching post which reaffirms that #TimesUp\xe2\x80\xa6'"
2018-10-08 22:24:33,"b'RT @Wolfe321: Another great finding from @womensmediacntr\xe2\x80\x99s #MeToo report: Since @jodikantor &amp; @mega2e 2017 Weinstein story, women are writ\xe2\x80\xa6'"
2018-10-08 22:24:33,"b""RT @brianefallon: Heidi Heitkamp's opponent Kevin Cramer just mocked the #metoo movement. Heitkamp responded by telling the story of her la\xe2\x80\xa6"""
2018-10-08 22:24:32,"b'RT @SenSchumer: Women across the country came together around this nomination to say #MeToo, to stand up against sexual abusers and harasse\xe2\x80\xa6'"
2018-10-08 22:24:30,b'Very interesting piece on the complexities of #MeToo by @ENBrown https://t.co/gKPMujo0gh'
2018-10-08 22:24:28,"b""RT @OpIndia_com: #MeToo: Hotstar cancels All India Bakchod show, 'On Air with AIB' with immediate effect https://t.co/nErJul0sVq"""
2018-10-08 22:24:28,b'RT @TalbertSwan: @lauratorteya @kanderson478 @AbeSolomon9 Actually #MeToo was highjacked by liberal white women already. It was started by\xe2\x80\xa6'
2018-10-08 22:24:27,"b""RT @BDUTT: In some ways Indian News Media's #MeToo Moment is even more cataclysmic than Bollywood's. And the journalist who showed the cour\xe2\x80\xa6"""
2018-10-08 22:24:27,"b'RT @ShephaliBhatt: ""I have waited for this moment to come for 19 years."" \n\n@vintananda\'s heart-wrenching post which reaffirms that #TimesUp\xe2\x80\xa6'"
2018-10-08 22:24:22,"b'Kevin Cramer: #MeToo Is a \xe2\x80\x98Movement Toward Victimization,\xe2\x80\x99 Says GOP Senate Candidate https://t.co/1UBUYJn0a9'"
2018-10-08 22:24:22,"b""RT @brianefallon: Heidi Heitkamp's opponent Kevin Cramer just mocked the #metoo movement. Heitkamp responded by telling the story of her la\xe2\x80\xa6"""
2018-10-08 22:24:21,b'Agree w/you but also would like to point out that #MeToo was started by a black woman and white women have also co-\xe2\x80\xa6 https://t.co/hcYNdxh8VU'
2018-10-08 22:24:21,"b'RT @PPact: ""A time is coming when powerful people and the institutions that support them are no longer insulated, as they once were, from t\xe2\x80\xa6'"
2018-10-08 22:24:21,"b'RT @because_desi: An Indian director/producer Vinta Nanda claims she was raped by Bollywood\xe2\x80\x99s favourite Babuji, Alok Nath in the 90\xe2\x80\x99s. #Met\xe2\x80\xa6'"
2018-10-08 22:24:21,b'RT @SirJadeja: Sanskari Man Alok Nath Accused Of Raping And Assaulting Director/Producer Vinita Nanda. #MeToo #MeTooIndia #TimesUp #AlokNat\xe2\x80\xa6'
2018-10-08 22:24:20,"b""RT @ashokepandit: I was appalled by the support the #AIBRoast got and was told that \xe2\x80\x98if it isn't your cup of tea, don't have it...\xe2\x80\x99 \n\nBut w\xe2\x80\xa6"""
2018-10-08 22:24:19,"b'RT @SenSchumer: Women across the country came together around this nomination to say #MeToo, to stand up against sexual abusers and harasse\xe2\x80\xa6'"
2018-10-08 22:24:18,b'RT @llama_ajol: Talked about a lot of heavy topics here. Hope you guys can check it out. Thank you for being amazing @TamarWrites and shari\xe2\x80\xa6'
2018-10-08 22:24:14,b'RT @BloombergQuint: Sandhya Menon (@TheRestlessQuil) in conversation with @TamannaInamdar on the #MeToo movement and what can be done next.\xe2\x80\xa6'
2018-10-08 22:24:14,b'RT @carrieksada: No @chuckschumer you are the disgraceful one using women as props and weaponizing the #MeToo movement to further your own\xe2\x80\xa6'
2018-10-08 22:24:12,b'RT @LisaBevere: Could Porn be the catalyst of another wave of sexual assault? Thought provoking read on how porn relates to #MeToo #protect\xe2\x80\xa6'
2018-10-08 22:24:09,b'RT @instapundit: Will there be #MeToo protesters? https://t.co/MjW0zOowSs'
2018-10-08 22:24:09,b'@sjgeimer @caterita2008 @LoveWorksDotCom @i_vrou @cmd51375 @Abourdainarmy @RealpeopleSar @marczak_rob @ndengleman\xe2\x80\xa6 https://t.co/LMhdQjztDJ'
2018-10-08 22:24:08,b'RT @suinqc: @elizabethforma @watercutter11 @realDonaldTrump Do NOT forget: Russia is still there waiting. So make sure 2 register &amp; \xe2\x80\xa6\n#Vote\xe2\x80\xa6'
2018-10-08 22:24:07,"b'RT @thewire_in: In the end, #MeToo didn\xe2\x80\x99t matter. Nothing really mattered except for the \xe2\x80\x9cfacts\xe2\x80\x9d chosen and defined by a few old men. https\xe2\x80\xa6'"
2018-10-08 22:24:07,"b'@FoxNews You guys got this all wrong, we SHOULD go so we can scream like  #metoo crazies did at Kavanaugh hearing.\xe2\x80\xa6 https://t.co/X0NI58FcXn'"
2018-10-08 22:24:05,"b'RT @demsrloosers: Patriots , you can attend a #KAG Trump rally for free. But to see the CROOKED CLINTONS it will cost you $745.00   #WalkAw\xe2\x80\xa6'"
2018-10-08 22:24:05,b'RT @lawcrimenews: Exclusive: Tom Mesereau Says Bill Cosby\xe2\x80\x99s Trial Was a Sham and #MeToo Has Gone \xe2\x80\x98Overboard\xe2\x80\x99 https://t.co/wEQXNTSYei https:\xe2\x80\xa6'
2018-10-08 22:24:01,b'RT @laughsfliesaway: Why are few girls using this #MeToo as a chance to get back at the guy who didnt even harass? You did it with him back\xe2\x80\xa6'
2018-10-08 22:23:59,"b'RT @writemombritt: I was watching @Fuctupmind \'s video about Alyssa Milano\'s supposed concert ""assault"" from DECADES ago and I couldnt help\xe2\x80\xa6'"
2018-10-08 22:23:57,b'RT @carrieksada: No @chuckschumer you are the disgraceful one using women as props and weaponizing the #MeToo movement to further your own\xe2\x80\xa6'
2018-10-08 22:23:55,"b'RT @PastorDScott: I wonder why the Democratic Party, Alyssa Milano and the #Metoo movement have absolutely NO interest in Keith Ellisons vi\xe2\x80\xa6'"
2018-10-08 22:23:54,"b'RT @PastorDScott: I wonder why the Democratic Party, Alyssa Milano and the #Metoo movement have absolutely NO interest in Keith Ellisons vi\xe2\x80\xa6'"
2018-10-08 22:23:52,"b'RT @scrowder: Celebrate the #KavanaughConfirmation by reliving ""To Kill a #MeToo Bird""\n\nWATCH =&gt; https://t.co/f5a1IiNfgY \n#LwC #MugClub htt\xe2\x80\xa6'"
2018-10-08 22:23:51,"b'@MarlaReynoldsC3 This is MY son. He is cute, handsome, and fluffy. And he also doesn\xe2\x80\x99t go on dates. And I vote.\xe2\x80\xa6 https://t.co/Ws6mkY3fbK'"
2018-10-08 22:23:51,"b""Monaghan must reveal evidence she's used to make her allegations seem more credible. Her claiming her words are eno\xe2\x80\xa6 https://t.co/K038mbuNPf"""
2018-10-08 22:23:50,b'RT @Alyssa_Milano: I told one of my #MeToo stories in @SenatorCollins office. I was with her constituent. We asked to speak with Senator Co\xe2\x80\xa6'
2018-10-08 22:23:50,"b'RT @ashokepandit: When a blunder is cheered, it gets encouraged for a bigger sin. #TanmayBhat and #GursimranKhamba are habitual misogynist\xe2\x80\xa6'"
2018-10-08 22:23:48,"b'RT @PastorDScott: I wonder why the Democratic Party, Alyssa Milano and the #Metoo movement have absolutely NO interest in Keith Ellisons vi\xe2\x80\xa6'"
2018-10-08 22:23:48,"b'RT @musicallyme1997: today, like most other days now, is extremely disappointing. #MeTooIndia #MeToo'"
2018-10-08 22:23:47,b'Your shameful video does no service to the Catholic family. The following is a more accurate portrayal of our socie\xe2\x80\xa6 https://t.co/iNF4zfcfTh'
2018-10-08 22:23:46,b'RT @carrieksada: No @chuckschumer you are the disgraceful one using women as props and weaponizing the #MeToo movement to further your own\xe2\x80\xa6'
2018-10-08 22:23:45,"b'RT @ConservaMomUSA: For any interested laymen, @TomArnold just illustrated the textbook example of a manic episode  while divulging his #Me\xe2\x80\xa6'"
2018-10-08 22:23:45,"b'RT @rektredpill: When you join the #MeToo movement, but you\xe2\x80\x99re sad because no one will rape you. https://t.co/UnkSHDnYEY'"
2018-10-08 22:23:45,"b'RT @SenSchumer: Women across the country came together around this nomination to say #MeToo, to stand up against sexual abusers and harasse\xe2\x80\xa6'"
2018-10-08 22:23:45,"b'RT @ShephaliBhatt: ""I have waited for this moment to come for 19 years."" \n\n@vintananda\'s heart-wrenching post which reaffirms that #TimesUp\xe2\x80\xa6'"
2018-10-08 22:23:45,b'RT @CrookdHillary: @EricaRN4USA @eavesdropann @AmericanRosie @cgpb @Fix_USA @HeidiL_RN @Corp125Vet @ParamjitGarewal @shellieblum @starcross\xe2\x80\xa6'
2018-10-08 22:23:44,"b""@LouDobbs Exploiting sexual assault victims for political gain is unconscionable. @ArielDumas attempt to ruin man's\xe2\x80\xa6 https://t.co/xYJb66s49o"""
2018-10-08 22:23:43,b'RT @morethanmySLE: .@foxycuda shared my story of Sexual Assault with @MillenPolitics\n\n#MeToo are #HerToo &amp; #HimToo\n\nWe see &amp; hear you.\n\nIt\xe2\x80\xa6'
2018-10-08 22:23:43,b'RT @Alyssa_Milano: Less than 1% of rapes lead to felony convictions. At least 89% of victims face emotional and physical consequences. #MeT\xe2\x80\xa6'
2018-10-08 22:23:42,"b""RT @AndyOstroy: Only the corrupt, soulless Republican Party could claim that a 2nd or 3rd sexual-abuse victim coming forward served to 'und\xe2\x80\xa6"""
2018-10-08 22:23:42,"b'RT @SenSchumer: Women across the country came together around this nomination to say #MeToo, to stand up against sexual abusers and harasse\xe2\x80\xa6'"
2018-10-08 22:23:41,b'@BreitbartNews The #MeToo tour'
2018-10-08 22:23:40,"b'RT @SenSchumer: Women across the country came together around this nomination to say #MeToo, to stand up against sexual abusers and harasse\xe2\x80\xa6'"
2018-10-08 22:23:38,"b""RT @AnibasNimsay: India's #MeToo happened in October 2017 with Raya Sarkar's #LoSHA lest y'all savarnas for the 1000th time overwrite histo\xe2\x80\xa6"""
2018-10-08 22:23:38,"b'RT @AngrierWHStaff: I\xe2\x80\x99m still baffled by this new men\xe2\x80\x99s #MeToo phobia. I\xe2\x80\x99m a man. I have boys. Never once have I thought to myself, \xe2\x80\x9cman. I\xe2\x80\xa6'"
2018-10-08 22:23:38,"b'RT @AayuJourno: Yes, I have a #MeToo story too. During an interview, for a good &amp; reputed media house, this lady, who was the head of the d\xe2\x80\xa6'"
2018-10-08 22:23:38,"b""RT @chatterboxpb: Ok I've been reading a LOT of ignorant tweets. There are varying levels of consent &amp; harrassment and I see people making\xe2\x80\xa6"""
2018-10-08 22:23:36,"b'RT @ShephaliBhatt: ""I have waited for this moment to come for 19 years."" \n\n@vintananda\'s heart-wrenching post which reaffirms that #TimesUp\xe2\x80\xa6'"
2018-10-08 22:23:36,"b'RT @SenSchumer: Women across the country came together around this nomination to say #MeToo, to stand up against sexual abusers and harasse\xe2\x80\xa6'"
2018-10-08 22:23:36,"b""RT @brianefallon: Heidi Heitkamp's opponent Kevin Cramer just mocked the #metoo movement. Heitkamp responded by telling the story of her la\xe2\x80\xa6"""
2018-10-08 22:23:31,b'RT @LauraLoomer: OMG The Clintons are going on tour together. \n\nWe need to get a traveling crew of Patriots to show up to all of these even\xe2\x80\xa6'
2018-10-08 22:23:31,b'This is my kind of \xe2\x80\x9c#metoo\xe2\x80\x9d. I want this...a woman after God\xe2\x80\x99s own heart. https://t.co/KqUbhbuLdM'
2018-10-08 22:23:30,"b""RT @bhak_sala: MJ Akbar's name in the list can become a very critical part of the latest #MeToo movement. The movement has crossed the barr\xe2\x80\xa6"""
2018-10-08 22:23:29,b'RT @shominisen: .@ahona_sengupta writes a timely article on the ongoing #MeToo movement that has got India talking finally. She beautifully\xe2\x80\xa6'
2018-10-08 22:23:28,b'RT @Speedcomesfirst: Wondering why #MeToo #feminist prioritise over different high profile #rape allegations!\nWell take a look at this bril\xe2\x80\xa6'
2018-10-08 22:23:27,"b'RT @SenSchumer: Women across the country came together around this nomination to say #MeToo, to stand up against sexual abusers and harasse\xe2\x80\xa6'"
2018-10-08 22:23:26,"b""RT @Mittermaniac: A friend / former colleague asked me this today. While it's great that #MeToo is happening in India, it is also important\xe2\x80\xa6"""
2018-10-08 22:23:25,"b'RT @FoxNews: Bill, Hillary Clinton to embark on speaking tour amid #MeToo backlash -- with tickets topping $745 https://t.co/JpA4nIEc0x'"
2018-10-08 22:23:24,"b'RT @PastorDScott: I wonder why the Democratic Party, Alyssa Milano and the #Metoo movement have absolutely NO interest in Keith Ellisons vi\xe2\x80\xa6'"
2018-10-08 22:23:24,"b'RT @SenSchumer: Women across the country came together around this nomination to say #MeToo, to stand up against sexual abusers and harasse\xe2\x80\xa6'"
2018-10-08 22:23:24,b'Replace #ColumbusDay with #MeToo Day.'
2018-10-08 22:23:22,"b'RT @PastorDScott: I wonder why the Democratic Party, Alyssa Milano and the #Metoo movement have absolutely NO interest in Keith Ellisons vi\xe2\x80\xa6'"
2018-10-08 22:23:17,"b'RT @ConservaMomUSA: Non-Michigan resident, #MeToo\xe2\x81\xa0 \xe2\x81\xa0\xe2\x81\xa0mob boss&amp; #Hollywood-open-secret-keeper @Alyssa_Milano prefers White female career pol\xe2\x80\xa6'"
2018-10-08 22:23:15,b'RT @kazweida: Brett Kavanaugh got sworn onto the Supreme Court this weekend.\n\nChristine Blasey Ford can\xe2\x80\x99t return to her house because she i\xe2\x80\xa6'
2018-10-08 22:23:12,b'@thetanmay Tanmay is an easy target. And hence was toppled. Nothing will happen to NONO Patekar and the Editor the\xe2\x80\xa6 https://t.co/osRskbw4ae'
2018-10-08 22:23:12,b'RT @Jillibean557: I\xe2\x80\x99m confused. Are feminist liberals for rape or against it?\n\n#MeToo movement is a #JOKE https://t.co/pOaPFkIJAj'
2018-10-08 22:23:12,"b'RT @SenSchumer: Women across the country came together around this nomination to say #MeToo, to stand up against sexual abusers and harasse\xe2\x80\xa6'"
2018-10-08 22:23:11,"b'RT @SenSchumer: Women across the country came together around this nomination to say #MeToo, to stand up against sexual abusers and harasse\xe2\x80\xa6'"
2018-10-08 22:23:11,b'Anyone want to come on the show in the next week to discuss #metoo or the SC? Reply or DM me.'
2018-10-08 22:23:10,"b'RT @Variety: Rose McGowan clarifies her comments that #MeToo is ""bulls---"" https://t.co/wFPxtJVwUn https://t.co/48W0hNJDHA'"
2018-10-08 22:23:09,"b'RT @SenSchumer: Women across the country came together around this nomination to say #MeToo, to stand up against sexual abusers and harasse\xe2\x80\xa6'"
2018-10-08 22:23:07,b'RT @PapillonBelier: Walking through this exhibit was so hard. I had to come in and leave and then come in and leave. I am heartbroken. #MeT\xe2\x80\xa6'
2018-10-08 22:23:07,"b'RT @SenSchumer: Women across the country came together around this nomination to say #MeToo, to stand up against sexual abusers and harasse\xe2\x80\xa6'"
2018-10-08 22:23:06,"b'RT @ConservaMomUSA: Non-Michigan resident, #MeToo\xe2\x81\xa0 \xe2\x81\xa0\xe2\x81\xa0mob boss&amp; #Hollywood-open-secret-keeper @Alyssa_Milano prefers White female career pol\xe2\x80\xa6'"
2018-10-08 22:23:06,"b'RT @madblack65: Not just in America, I will always believe survivors #kavanaugh  #BelieveWomen #metoo https://t.co/JVg7EaDscU'"
2018-10-08 22:23:05,"b'RT @Wolfe321: Another great finding from @womensmediacntr\xe2\x80\x99s #MeToo report: Since @jodikantor &amp; @mega2e 2017 Weinstein story, women are writ\xe2\x80\xa6'"
2018-10-08 22:23:04,"b'RT @demsrloosers: Patriots , you can attend a #KAG Trump rally for free. But to see the CROOKED CLINTONS it will cost you $745.00   #WalkAw\xe2\x80\xa6'"
2018-10-08 22:23:04,"b""@rosemcgowan Isn't #MeToo and #TimesUp the same thing though?"""
2018-10-08 22:23:03,"b'RT @SenSchumer: Women across the country came together around this nomination to say #MeToo, to stand up against sexual abusers and harasse\xe2\x80\xa6'"
